epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,83.2319,1.47652,1.07148,1.93288,0.97369,1,0.99329,0.76332,0.9268,0.60058,1.46079,0.000812,0.000812,0.000812
62,84.3255,1.06484,0.75252,1.49788,0.9725,1,0.99329,0.73602,1.01391,0.644,1.49159,0.0007922,0.0007922,0.0007922
63,85.4609,1.28798,0.80144,1.61007,0.97198,1,0.99329,0.72091,1.06012,0.6802,1.53621,0.0007724,0.0007724,0.0007724
64,86.7072,1.17021,0.76941,1.66272,0.97127,1,0.99378,0.75472,0.98111,0.72627,1.50324,0.0007526,0.0007526,0.0007526
65,87.7889,1.1364,0.85335,1.59598,0.99611,1,0.995,0.75393,0.97836,0.7456,1.50647,0.0007328,0.0007328,0.0007328
66,89.0633,1.31295,1.10119,1.8123,0.99511,1,0.995,0.74682,0.97859,0.72787,1.48835,0.000713,0.000713,0.000713
67,90.7396,1.25567,1.02765,1.77288,0.99648,1,0.995,0.7174,1.02231,0.68951,1.49624,0.0006932,0.0006932,0.0006932
68,92.7518,1.26645,0.75022,1.47401,0.9979,1,0.995,0.69098,1.12803,0.63651,1.56057,0.0006734,0.0006734,0.0006734
69,93.8783,1.18175,0.7324,1.45901,0.99831,1,0.995,0.70503,1.09553,0.61471,1.53932,0.0006536,0.0006536,0.0006536
70,94.9841,1.07074,0.67531,1.52818,0.99774,1,0.995,0.71795,1.02997,0.59776,1.4905,0.0006338,0.0006338,0.0006338
71,96.0743,1.07631,0.65868,1.46187,0.99837,1,0.995,0.73425,0.99054,0.5915,1.47451,0.000614,0.000614,0.000614
72,97.2203,1.29167,0.93135,1.72499,0.99869,1,0.995,0.73395,0.97271,0.60567,1.4579,0.0005942,0.0005942,0.0005942
73,98.3086,1.15016,0.70346,1.36978,0.99829,1,0.995,0.70636,1.06938,0.6491,1.50854,0.0005744,0.0005744,0.0005744
74,99.4211,1.09081,0.69839,1.3833,0.99778,1,0.995,0.71384,1.08069,0.65176,1.50088,0.0005546,0.0005546,0.0005546
75,100.504,1.24663,0.79019,1.63805,0.99769,1,0.995,0.73933,1.00478,0.61251,1.44334,0.0005348,0.0005348,0.0005348
76,101.617,0.99042,0.64329,1.41386,0.99783,1,0.995,0.74585,0.98459,0.59552,1.4342,0.000515,0.000515,0.000515
77,102.77,1.07822,0.64189,1.46662,0.99771,1,0.995,0.72732,1.04194,0.61364,1.46771,0.0004952,0.0004952,0.0004952
78,104.538,1.13843,0.68865,1.48916,0.99671,1,0.995,0.71238,1.04562,0.60657,1.47124,0.0004754,0.0004754,0.0004754
79,106.256,1.11444,0.66733,1.48696,0.99545,1,0.995,0.7526,0.9471,0.57791,1.41267,0.0004556,0.0004556,0.0004556
80,107.549,1.29992,0.74632,1.43119,0.99569,1,0.995,0.76907,0.90046,0.56446,1.38648,0.0004358,0.0004358,0.0004358
81,108.638,1.41526,0.94415,1.84493,0.99631,1,0.995,0.75317,0.94682,0.58471,1.41091,0.000416,0.000416,0.000416
82,109.904,1.06765,0.68505,1.38833,0.99636,1,0.995,0.7312,0.96539,0.62243,1.41872,0.0003962,0.0003962,0.0003962
83,111.039,1.08459,0.65654,1.43058,0.99629,1,0.995,0.73915,0.96664,0.64376,1.42974,0.0003764,0.0003764,0.0003764
84,112.132,1.08762,0.72695,1.57023,0.9958,1,0.995,0.74479,0.93723,0.62377,1.42233,0.0003566,0.0003566,0.0003566
85,113.369,1.04691,0.77255,1.424,0.99553,1,0.995,0.73814,0.94766,0.59607,1.41834,0.0003368,0.0003368,0.0003368
